language group,variety name,new_name,ISO 639,LangId,# of speakers,mBERT seen,udp,pos,ner,mt,sdqa,rcmc,nli,tc,sc,di
chinese,traditional chinese,chinese/traditional,-,-,written only,tick,UD_Classical_Chinese-Kyoto,UD_Classical_Chinese-Kyoto,zh-classical,-,-,zho_Hant,zho_Hant,zho_Hant,-,-
chinese,traditional chinese,chinese/traditional/hongkong,,,written only,,UD_Chinese-HK,UD_Chinese-HK,,,,,,,,
circassian,adyghe,circassian/adyghe,ady,ady,500000,-,-,-,ady,-,-,-,-,-,-,-
circassian,kabardian,circassian/kabardian,kbd,kbd,1000000,-,-,-,kbd,-,-,-,-,-,-,-
croatian,croatian,croatian/croatian,hrv,hrv,7000000,tick,-,-,hr,-,-,-,-,-,-,-
croatian,bosnian,croatian/bosnian,bos,bos,2500000,tick,-,-,bs,-,-,-,-,-,-,-
croatian,serbian,croatian/serbian,srp,srp,12000000,tick,-,-,sr,-,-,-,-,-,-,-
croatian,serbo-croatian,croatian/serbo-croatian,-,-,19000000,tick,-,-,sh,-,-,-,-,-,-,-
dutch,dutch,dutch/dutch,nld,nld,25000000,tick,UD_Dutch-Alpino,UD_Dutch-Alpino,nl,-,-,-,nld_Latn,nld_Latn,-,-
dutch,limburgish,dutch/limburgish,lim,lim,1300000,-,-,-,li,-,-,-,lim_Latn,lim_Latn,-,-
dutch,west flemish,dutch/west flemish,vls,vls,1400000,-,-,-,vls,-,-,-,-,-,-,-
dutch,zeelandic,dutch/zeelandic,zea,zea,220000,-,-,-,zea,-,-,-,-,-,-,-
english,english,english/english,eng,eng,1350000000,tick,UD_English-EWT,UD_English-EWT,en,-,-,eng_Latn,eng_Latn,eng_Latn,-,english:EN
english,african american english,english/american/african,-,aae,30000000,-,TwitterAAE,-,-,-,-,-,-,-,-,-
english,australian english,english/australian,-,-,21715910,-,-,-,-,-,english--aus,-,-,-,-,-
english,filipino english,english/filipino,-,-,64025890,-,-,-,-,-,english--phl,-,-,-,-,-
english,irish english,english/irish,-,-,4350000,-,-,-,-,-,english--irl,-,-,-,-,-
english,jamaican patois,english/jamaican patois,jam,jam,3200000,-,-,-,jam,-,-,-,-,-,-,-
english,kenyan english,english/kenyan,-,-,8100000,-,-,-,-,-,english--ken,-,-,-,-,-
english,new zealand english,english/new zealand,-,-,4181902,-,-,-,-,-,english--nzl,-,-,-,-,-
english,nigerian english,english/nigerian,-,-,125039680,-,-,-,-,-,english--nga,-,-,-,-,-
english,north indian english,english/indian/north,-,-,-,-,-,-,-,-,english--ind_n,-,-,-,-,-
english,old english,english/old,ang,ang,antiquated,-,-,-,ang,-,-,-,-,-,-,-
english,scottish english,english/scottish,-,-,5463300,-,-,-,-,-,english--sco,-,-,-,-,-
english,simple english~,english/simple,-,-,-,-,-,-,simple,-,-,-,-,-,-,-
english,singlish,english/singlish,-,-,3900000,-,singlish,singlish,-,-,-,-,-,-,-,-
english,south african english,english/south african,-,-,16424417,-,-,-,-,-,english--zaf,-,-,-,-,-
english,south indian english,english/indian/south,-,-,-,-,-,-,-,-,english--ind_s,-,-,-,-,-
english,southeast US english,english/american/southeast,-,-,79200000,-,-,-,-,-,english--usa,-,-,-,-,-
english,standard american english,english/american/standard,eng,eng,316107532,-,-,-,-,-,-,-,-,-,-,english:EN-US
english,standard british english,english/standard british,eng,eng,62912000,-,-,-,-,-,-,-,-,-,-,english:EN-GB
finnish,finnish,finnish/finnish,fin,fin,5000000,tick,-,UD_Finnish-TDT,-,-,-,-,-,-,-,-
finnish,estonian,finnish/estonian,ekk,ekk,1200000,tick,-,UD_Estonian-EDT,-,-,-,-,-,-,-,-
finnish,murre-häm,finnish/murre-häm,-,-,-,-,-,murre-HÄM,-,-,-,-,-,-,-,-
finnish,murre-kaa,finnish/murre-kaa,-,-,-,-,-,murre-KAA,-,-,-,-,-,-,-,-
finnish,murre-lou,finnish/murre-lou,-,-,-,-,-,murre-LOU,-,-,-,-,-,-,-,-
finnish,murre-lvä,finnish/murre-lvä,-,-,-,-,-,murre-LVÄ,-,-,-,-,-,-,-,-
finnish,murre-poh,finnish/murre-poh,-,-,-,-,-,murre-POH,-,-,-,-,-,-,-,-
finnish,murre-sav,finnish/murre-sav,-,-,-,-,-,murre-SAV,-,-,-,-,-,-,-,-
french,french,french/french,fra,fra,68500000,tick,UD_French-ParTUT,UD_French-ParTUT,fr,-,-,-,-,-,-,-
french,arpitan*,french/arpitan,frp,frp,157000,-,-,-,frp,-,-,-,-,-,-,-
french,norman*,french/norman,nrf,nrf,20000,-,-,-,tick,-,-,-,-,-,-,-
french,occitan*,french/occitan,oci,oci,200000,tick,-,-,oc,-,-,-,oci_Latn,oci_Latn,-,-
french,old french,french/old,fro,fro,antiquated,-,UD_Old_French-SRCMF,UD_Old_French-SRCMF,-,-,-,-,-,-,-,-
french,walloon*,french/walloon,wln,wln,600000,-,-,-,wa,-,-,-,-,-,-,-
frisian,western frisian,frisian/western,fry,fry,470000,-,-,-,fy,-,-,-,-,-,-,-
frisian,northern frisian,frisian/northern,frr,frr,10000,-,-,-,frr,-,-,-,-,-,-,-
frisian,saterland frisian,frisian/saterland,-,-,2250,-,-,-,stq,-,-,-,-,-,-,-
german,low german*,german/low german,nds,-,5000000,tick,UD_Low_Saxon-LSDC,UD_Low_Saxon-LSDC,nds,-,-,-,-,-,-,-
german,german,german/german,deu,deu,111800000,tick,UD_German-LIT,UD_German-LIT,de,-,-,-,-,-,-,-
german,alemannisch,german/alemannisch,gsw,gsw,10000000,-,-,-,als,-,-,-,-,-,-,-
german,bavarian,german/bavarian,bar,bar,12000000,tick,-,-,bar,-,-,-,-,-,-,-
german,colognian,german/colognian,ksh,ksh,250000,-,-,-,ksh,-,-,-,-,-,-,-
german,luxembourgish,german/luxembourgish,ltz,ltz,390000,tick,-,-,lb,-,-,-,-,-,-,-
german,palatine german,german/palatine,-,-,400000,-,-,-,pfl,-,-,-,-,-,-,-
german,pennsylvania german,german/pennsylvania,pdc,pdc,300000,-,-,-,pdc,-,-,-,-,-,-,-
german,swiss german-zh,german/swiss german/zh,-,-,-,-,UD_Swiss_German-UZH,UD_Swiss_German-UZH,-,-,-,-,-,-,-,swiss-dialects:ZH
german,swiss german-be,german/swiss german/be,-,-,-,-,-,-,-,-,-,-,-,-,-,swiss-dialects:BE
german,swiss german-bs,german/swiss german/bs,-,-,-,-,-,-,-,-,-,-,-,-,-,swiss-dialects:BS
german,swiss german-lu,german/swiss german/lu,-,-,-,-,-,-,-,-,-,-,-,-,-,swiss-dialects:LU
greek,modern greek,greek/modern,ell,ell,13000000,tick,-,-,el,-,-,-,-,-,-,"greek:smg_twitter,greek:smg_fb,greek:smg_other"
greek,cypriot greek,greek/cypriot,-,el-cg,700000,-,-,-,-,-,-,-,-,-,-,"greek:cg_twitter,greek:cg_fb,greek:cg_other"
greek,pontic,greek/pontic,pnt,pnt,778000,-,-,-,pnt,-,-,-,-,-,-,-
guarani,guarani,guarani/guarani,-,-,6500000,-,UD_Guarani-OldTuDeT,UD_Guarani-OldTuDeT,-,-,-,-,-,-,-,-
guarani,brazil guarani,guarani/brazil,-,-,51000,-,UD_Mbya_Guarani-Dooley,UD_Mbya_Guarani-Dooley,-,-,-,-,-,-,-,-
guarani,paraguay guarani,guarani/paraguay,gug,gug,5250000,-,UD_Mbya_Guarani-Thomas,UD_Mbya_Guarani-Thomas,-,-,-,-,-,-,-,-
hindi,hindi,hindi/hindi,hin,hin,592000000,tick,-,-,hi,-,-,-,-,-,-,-
hindi,fiji hindi,hindi/fiji,hif,hif,380000,-,-,-,hif,-,-,-,-,-,-,-
inuit,inupiaq,inuit/inupiaq,ipk,ipk,1250,-,-,-,ik,-,-,-,-,-,-,-
inuit,kalaallisut,inuit/kalaallisut,kal,kal,50000,-,-,-,kl,-,-,-,-,-,-,-
italian,italian,italian/italian,ita,ita,61100000,tick,UD_Italian-PUD,UD_Italian-PUD,it,-,-,-,ita_Latn,ita_Latn,-,-
italian,corsican,italian/corsican,cos,cos,150000,-,-,-,co,-,-,-,-,-,-,-
italian,emiliano-romagnolo*,italian/emiliano-romagnolo,egl,egl,4400000,-,-,-,eml,-,-,-,-,-,-,-
italian,friulian*,italian/friulian,fur,fur,420000,-,-,-,fur,-,-,-,fur_Latn,fur_Latn,-,-
italian,ligurian*,italian/ligurian,lij,lij,500000,-,UD_Ligurian-GLT,UD_Ligurian-GLT,lij,-,-,-,lij_Latn,lij_Latn,-,-
italian,lombard*,italian/lombard,lmo,lmo,3800000,tick,-,-,lmo,-,-,-,lmo_Latn,lmo_Latn,-,-
italian,neapolitan,italian/neapolitan,nap,nap,5700000,-,UD_Neapolitan-RB,UD_Neapolitan-RB,nap,-,-,-,-,-,-,-
italian,piedmontese*,italian/piedmontese,pms,pms,2000000,tick,-,-,pms,-,-,-,-,-,-,-
italian,sardinian*,italian/sardinian,srd,srd,1000000,-,-,-,sc,-,-,-,srd_Latn,srd_Latn,-,-
italian,sicilian,italian/sicilian,scn,scn,4700000,tick,-,-,scn,-,-,-,scn_Latn,scn_Latn,-,-
italian,tarantino,italian/tarantino,-,-,220000,-,-,-,roa-tara,-,-,-,-,-,-,-
italian,umbrian*,italian/umbrian,xum,xum,antiquated,-,UD_Umbrian-IKUVINA,UD_Umbrian-IKUVINA,-,-,-,-,-,-,-,-
italian,venetian*,italian/venetian,vec,vec,3900000,-,-,-,vec,-,-,-,vec_Latn,vec_Latn,-,-
kiswahili,kenyan kiswahili,kiswahili/kenyan,-,-,1000000,-,-,-,-,-,swahili--kenya,-,-,-,-,-
kiswahili,tanzanian kiswahili,kiswahili/tanzanian,-,-,15000000,-,-,-,-,-,swahili--tanzania,-,-,-,-,-
komi,komi,komi/komi,kom,kom,1000000,-,-,-,kv,-,-,-,-,-,-,-
komi,komi-permyak,komi/permyak,koi,koi,63000,-,UD_Komi_Permyak-UH,UD_Komi_Permyak-UH,koi,-,-,-,-,-,-,-
komi,komi-zyrian,komi/zyrian,kpv,kpv,99609,-,UD_Komi_Zyrian-Lattice,UD_Komi_Zyrian-Lattice,-,-,-,-,-,-,-,-
korean,korean,korean/korean,kor,kor,66400000,tick,-,-,-,-,korean--korn,-,-,-,-,-
korean,southern korean,korean/southern,-,-,-,-,-,-,-,-,korean--kors,-,-,-,-,-
kurdish,kurdish,kurdish/kurdish,kur,kur,30000000,-,-,-,ku,-,-,-,-,-,-,-
kurdish,central kurdish,kurdish/central,ckb,ckb,7250000,-,-,-,ckb,-,-,-,ckb_Arab,ckb_Arab,-,-
kurdish,northern kurdish,kurdish/northern,kmr,kmr,15000000,-,-,-,-,-,-,-,kmr_Latn,kmr_Latn,-,-
latvian,latvian,latvian/latvian,lav,lav,1700000,tick,-,-,lv,-,-,-,lvs_Latn,lvs_Latn,-,-
latvian,latgalian,latvian/latgalian,ltg,ltg,200000,-,-,-,ltg,-,-,-,ltg_Latn,ltg_Latn,-,-
mari,eastern mari,mari/eastern,mhr,mhr,470000,-,-,-,mhr,-,-,-,-,-,-,-
mari,western mari,mari/western,mrj,mrj,30000,-,-,-,mrj,-,-,-,-,-,-,-
norwegian,bokmaal,norwegian/bokmaal,nob,nob,written only,-,UD_Norwegian-Bokmaal,-,bokmaal,-,-,-,nob_Latn,nob_Latn,-,-
norwegian,nynorsk,norwegian/nynorsk,nno,nno,written only,-,UD_Norwegian-Nynorsk,UD_Norwegian-Nynorsk,nynorsk,-,-,-,nno_Latn,nno_Latn,-,-
norwegian,samnorsk,norwegian/samnorsk,-,-,antiquated,-,-,-,samnorsk,-,-,-,-,-,-,-
norwegian,old nynorsk,norwegian/nynorsk/old,non,non,antiquated,-,UD_Norwegian-NynorskLIA,UD_Norwegian-NynorskLIA,-,-,-,-,-,-,-,-
portuguese,written,portuguese/written,,,,,UD_Portuguese-CINTIL,UD_Portuguese-CINTIL,,,,,,,,portuguese:PT
portuguese,european portuguese,portuguese/european,por,por,40000000,tick,UD_Portuguese-PUD,UD_Portuguese-PUD,-,-,-,-,por_Latn,por_Latn,-,portuguese:PT-PT
portuguese,brazilian portuguese,portuguese/brazilian,-,-,203062512,-,UD_Portuguese-GSD,UD_Portuguese-GSD,-,-,-,-,-,-,-,portuguese:PT-BR
portuguese,mirandese*,portuguese/mirandese,mwl,mwl,15000,-,-,-,mwl,-,-,-,-,-,-,-
portuguese,european and brazilian mixed,portuguese/mix,,,,,UD_Portuguese-Bosque,UD_Portuguese-Bosque,,,,,,,,
punjabi,punjabi,punjabi/punjabi,pan,pan,113000000,tick,-,-,pa,-,-,-,-,-,-,-
punjabi,western punjabi,punjabi/western,pnb,pnb,80540000,tick,-,-,pnb,-,-,-,-,-,-,-
romanian,romanian,romanian/romanian,ron,ron,23000000,tick,-,-,ro,-,-,-,-,-,-,-
romanian,aromanian*,romanian/aromanian,rup,rup,210000,-,-,-,roa-rup,-,-,-,-,-,-,-
romanian,moldovan,romanian/moldovan,-,-,23000000,-,-,-,mo,-,-,-,-,-,-,-
romansh,romansh,romansh/romansh,roh,roh,60000,-,-,-,rm,-,-,-,-,-,-,-
sami,north sami,sami/north,sme,sme,25000,-,UD_North_Sami-Giella,UD_North_Sami-Giella,-,-,-,-,-,-,-,-
sami,skolt sami,sami/skolt,sms,sms,330,-,UD_Skolt_Sami-Giellagas,UD_Skolt_Sami-Giellagas,-,-,-,-,-,-,-,-
sorbian,lower sorbian,sorbian/lower,dsb,dsb,6900,-,-,-,dsb,-,-,-,-,-,-,-
sorbian,upper sorbian,sorbian/upper,hsb,hsb,13000,-,-,-,hsb,-,-,-,-,-,-,-
sotho,northern sotho,sotho/northern,nso,nso,13800000,-,-,-,nso,-,-,nso_Latn,nso_Latn,nso_Latn,-,-
sotho,southern sotho,sotho/southern,sot,sot,5600000,-,-,-,st,-,-,sot_Latn,sot_Latn,sot_Latn,-,-
spanish,spanish,spanish/spanish,spa,spa,466000000,tick,-,-,es,-,-,-,spa_Latn,spa_Latn,-,spanish:ES
spanish,argentinian spanish,spanish/argentinian,-,-,41700000,-,-,-,-,-,-,-,-,-,-,spanish:ES-AR
spanish,extremaduran*,spanish/extremaduran,ext,ext,200000,-,-,-,ext,-,-,-,-,-,-,-
spanish,galician*,spanish/galician,glg,glg,2400000,tick,-,-,gl,-,-,-,glg_Latn,glg_Latn,-,-
spanish,peninsular spanish,spanish/peninsular,-,-,40000000,-,-,-,-,-,-,-,-,-,-,spanish:ES-ES
turkish,turkish,turkish/turkish,tur,tur,90000000,tick,-,-,tr,-,-,-,-,-,-,-
turkish,crimean tatar*,turkish/crimean tatar,crh,crh,580000,-,-,-,crh,-,-,-,-,-,-,-
